dataset,field_id,scene_date,scene_id,polarization,zonal_mean_db,zonal_min_db,zonal_max_db,zonal_median_db,valid_pixel_count,nodata_pixel_count,radar_raster
sp,SP_1_1,2026-06-18,S1D_IW_GRDH_1SDV_20260618T033709_20260618T033734_003285_005BFE_rtc,VH,-20.59328069401186,-27.653987479407217,-12.473951103311386,-21.29089408110913,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-18/sentinel_rtc.tif
sp,SP_1_1,2026-06-18,S1D_IW_GRDH_1SDV_20260618T033709_20260618T033734_003285_005BFE_rtc,VV,-8.384198320825222,-16.582315082345524,-2.965036369927889,-8.684485898956947,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-18/sentinel_rtc.tif
sp,SP_1_1,2026-06-21,S1D_IW_GRDH_1SDV_20260621T151327_20260621T151351_003336_005DAB_rtc,VH,-20.333819924173326,-26.972039297516268,-14.213708125251618,-20.68431254729711,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-21/sentinel_rtc.tif
sp,SP_1_1,2026-06-21,S1D_IW_GRDH_1SDV_20260621T151327_20260621T151351_003336_005DAB_rtc,VV,-8.212613342272546,-15.376299098567907,-0.38372620849906225,-8.695806123184667,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-21/sentinel_rtc.tif
sp,SP_1_1,2026-06-23,S1D_IW_GRDH_1SDV_20260623T034529_20260623T034558_003358_005E68_rtc,VH,-16.290172396049236,-21.90551278412011,-10.296085668256008,-16.561999853570967,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-23/sentinel_rtc.tif
sp,SP_1_1,2026-06-23,S1D_IW_GRDH_1SDV_20260623T034529_20260623T034558_003358_005E68_rtc,VV,-6.161047746852091,-17.431372730282384,0.7875337326116015,-6.706377680148232,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-23/sentinel_rtc.tif
sp,SP_1_1,2026-06-27,S1C_IW_GRDH_1SDV_20260627T151314_20260627T151338_008293_010679_rtc,VH,-17.22126262983392,-24.281335846703904,-11.379154525642612,-17.552037880684992,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-27/sentinel_rtc.tif
sp,SP_1_1,2026-06-27,S1C_IW_GRDH_1SDV_20260627T151314_20260627T151338_008293_010679_rtc,VV,-6.149031987032732,-13.773035708433092,0.7136294946197654,-6.655653833630022,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-27/sentinel_rtc.tif
sp,SP_1_1,2026-06-29,S1C_IW_GRDH_1SDV_20260629T034516_20260629T034545_008315_010739_rtc,VH,-15.96891074030528,-23.64136544856972,-11.365249598882412,-16.226136276536764,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-29/sentinel_rtc.tif
sp,SP_1_1,2026-06-29,S1C_IW_GRDH_1SDV_20260629T034516_20260629T034545_008315_010739_rtc,VV,-6.990501296993662,-15.780239097041143,-0.5491401806841507,-7.291130556288207,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-29/sentinel_rtc.tif
sp,SP_1_1,2026-06-30,S1D_IW_GRDH_1SDV_20260630T033711_20260630T033736_003460_0061C2_rtc,VH,-15.835417669720064,-24.12125904892575,-10.743079206480484,-16.076691883857507,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-30/sentinel_rtc.tif
sp,SP_1_1,2026-06-30,S1D_IW_GRDH_1SDV_20260630T033711_20260630T033736_003460_0061C2_rtc,VV,-7.566333791863857,-15.905397619008422,-2.671045646861205,-7.784152963920085,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-06-30/sentinel_rtc.tif
sp,SP_1_1,2026-07-03,S1D_IW_GRDH_1SDV_20260703T151327_20260703T151351_003511_00637D_rtc,VH,-14.788998561305595,-20.848361381400764,-9.389493736805917,-15.058600929548936,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-03/sentinel_rtc.tif
sp,SP_1_1,2026-07-03,S1D_IW_GRDH_1SDV_20260703T151327_20260703T151351_003511_00637D_rtc,VV,-2.8764543827324625,-12.230675398559473,3.973624712795192,-3.457973387489875,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-03/sentinel_rtc.tif
sp,SP_1_1,2026-07-05,S1D_IW_GRDH_1SDV_20260705T034530_20260705T034559_003533_006442_rtc,VH,-13.533878202571136,-19.37917184081744,-8.373079549593125,-13.764850246640378,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-07-05/sentinel_rtc.tif
